opcode,flags,Key_ID,seq_id,datetime,AHU,_SVDDDISTANCE_,_SVDDSCORE_
I,N, 0,22556,08JAN15:08:45:00,AHU_5_1,0.864962,-1.000000
I,N, 1,22557,08JAN15:09:00:00,AHU_5_1,0.865227,-1.000000
I,N, 2,22558,08JAN15:09:15:00,AHU_5_1,0.869369,-1.000000
I,N, 3,22559,08JAN15:09:30:00,AHU_5_1,0.868597,-1.000000
I,N, 4,22560,08JAN15:09:45:00,AHU_5_1,0.884385,-1.000000
I,N, 5,22561,08JAN15:10:00:00,AHU_5_1,0.883756,-1.000000
I,N, 6,22562,08JAN15:10:15:00,AHU_5_1,0.882273,-1.000000
I,N, 7,22563,08JAN15:10:30:00,AHU_5_1,0.881414,-1.000000
I,N, 8,22564,08JAN15:10:45:00,AHU_5_1,0.883394,-1.000000
I,N, 9,22565,08JAN15:11:00:00,AHU_5_1,0.883519,-1.000000
I,N, 10,22566,08JAN15:11:15:00,AHU_5_1,0.882286,-1.000000
I,N, 11,22567,08JAN15:11:30:00,AHU_5_1,0.882402,-1.000000
